WORD,TYPE,PLURAL,SYNONYM,ANTONYM
أرشم,اسم,رشم,,
أرصوصة,اسم,أراصيص,,
أرض,اسم,أرضون,,سماء;جوّ;فضاء
أرض,اسم,رض,,
أرضة,اسم,أرض,,
أرضين,اسم,عواثير,,
أرعب,اسم,رعب,,
أرعل,اسم,رعل,,
أرعن,اسم,رعن,رعن,حليم;وقور
أرعوثة,اسم,أراعيث,,
أرعوفة,اسم,أراعيف,,
أرفة,اسم,أرف,,
أرقط,اسم,رقط,,
أرقع,اسم,رقع,,
أرقم,اسم,أراقم,,
أرمد,اسم,رمد,,
أرمل,اسم,أرامل,,
أرمل,اسم,رمل,,
أرنبة,اسم,أرانب,,
أرنة,اسم,أراني,,
أروع,اسم,روع,,
أروق,اسم,روق,,
أروية,اسم,أراوي,,
أروية,اسم,أراوي,,
أري,اسم,,,حنظل;شري
أريب,اسم,,,مغفل;أحمق
أريج,اسم,,,ريح(كريهة)
أريجة,اسم,أرائج,,
أريكة,اسم,أريك,,
أزج,اسم,آزج,,
أزعر,اسم,زعر,,
أزلى,اسم,,,
أزلي,اسم,,,فاني;زائل
أزمة,اسم,,,رخاء;فرج
أزمل,اسم,أزامل,,
أزملة,اسم,أزامل,,
أزهر,اسم,زهر,,
أزوف,اسم,,,بعد
أس,اسم,إساس,,
أسبل,اسم,سبل,سبل,رفع
أسبوع,اسم,أسابيع,,
أسبوية,اسم,أسابيب,,
أستاذ,اسم,أساتذة,,
أسجر,اسم,سجر,,
أسجوعة,اسم,أساجيع,,
أسحت,اسم,سحت,,
أسحية,اسم,أساحي,,
أسخم,اسم,سخم,,
أسد,اسم,آساد,,
أسر,اسم,,,إطلاق;حرّيّة;أطلق;أحزن;غمّ;همّ;أباح;أذاع
أسرة,اسم,أسر,,
أسروع,اسم,أساريع,,
أسعر,اسم,سعر,,
أسفل,اسم,أسافل,,أعلى;ذروة;علوّ;أوج
أسقع,اسم,أساقع,,
أسقف,اسم,أساقفة,,
أسلت,اسم,سلت,,
أسلخ,اسم,سلخ,,
أسلع,اسم,سلع,,
أسلوب,اسم,أساليب,,
أسلوفة,اسم,أساليف,,
أسمر,اسم,سمر,,
أسنع,اسم,سنع,,
أسود,اسم,سود,,أبيض
أسود,اسم,أساود,,
أسى,اسم,,,فرح;حبور;سرور
أسير,اسم,أسراء,أسراء,حرّ;طليق
أسيف,اسم,أسفاء,,
أسينة,اسم,آسن,,
أشأم,اسم,أشائم,,
أشعر,اسم,شعر,,
أشغولة,اسم,أشاغيل,,
أشفى,اسم,شفو,شفو,أسقم;أمرض
أشقح,اسم,شقح,,
أشمط,اسم,شمط,,
أشنة,اسم,أشن,,
أشنج,اسم,شنج,,
أشوص,اسم,شوص,,
أشوه,اسم,شوه,,
أشيب,اسم,شيب,,
أصاغر,اسم,,,أكابر
أصالة(الرأي),اسم,,,ضعف;رداءة;فساد
أصبوع,اسم,أصابيع,,
أصدة,اسم,أصد,,
أصعب,اسم,,,أسهل
أصغر,اسم,أصاغر,,أكبر
أصغر,اسم,صغر,,
أصغران,اسم,,,
أصفر,اسم,فواقع,,
أصك,اسم,صك,,
أصل,اسم,,,فرع
أصلد,اسم,صلد,,
أصلف,اسم,أصالف,,
أصلم,اسم,صلم,,
أصلي,اسم,,,فرعيّ;تقليديّ;دخيل
أصم,اسم,صم,,
أصمع,اسم,صمع,,
أصهب,اسم,صهب,,
أصيد,اسم,صيد,,
أصيدة,اسم,أصد,,
أصير,اسم,أصر,,
أصيص,اسم,أصائص,,
أصيل,اسم,أصل,أصل,دخيل;وكيل
أضاة,اسم,أضوات,,
أضجع,اسم,ضجع,,
أضحاة,اسم,أضحى,,
أضحوكة,اسم,أضاحيك,,
أضحية,اسم,أضاحي,,
أضخومة,اسم,أضاخيم,,
أضلع,اسم,ضلع,,
أضلولة,اسم,أضاليل,,
أطرة,اسم,أطر,,
أطرش,اسم,طرش,طرش,سامع
أطروحة,اسم,أطاريح,,
أطروفة,اسم,أطاريف,,
أطلس,اسم,طلس,,
أطم,اسم,آطام,,
أطول,اسم,,,أقصر
أطوم,اسم,أطم,,
أطيب,اسم,أطايب,,
أطيب,اسم,طوبيات,,
أظفور,اسم,أظافير,,
أظل,اسم,ظل,,
أظمى,اسم,ظمى,,
أعتوبة,اسم,أعاتيب,,
أعثى,اسم,عثو,,
أعجوبة,اسم,أعاجيب,,
أعزب,اسم,,,متزوج
أعزل,اسم,عزل,,مدجّج;مسلّح
أعضب,اسم,عضب,,
أعظم,اسم,عواهل,عواهل,أحقر
أعقف,اسم,عقف,,
أعلومة,اسم,أعاليم,,
أعلى,اسم,,,أسفل;أدنى
أعمى,اسم,,,بصير
أعوج,اسم,,,قويم;مستقيم
أعور,اسم,عور,,
أعور,اسم,أعاور,,
أعيان(الناس),اسم,,,أوباش;أخلاط;سفلة;حثالة;شذّاذ
أعيس,اسم,عيس,,
أغبر,اسم,غبر,,
أغبى,اسم,غبي,,
أغثر,اسم,غثر,,
أغر,اسم,غر,,
أغرودة,اسم,أغاريد,,
أغلوج,اسم,أغاليج,,
أغلوطة,اسم,أغاليط,,
أغن,اسم,,,أخنّ
أغنوجة,اسم,أغانيج,,
أغنية,اسم,أغان,,
أغنية,اسم,أغاني,,
أغوية,اسم,أغاوي,,
أفاضل(الناس),اسم,,,أوباش;أخلاط;سفلة;حثالة;شذّاذ
أفاك,اسم,,,صدوق;صادق
أفحوص,اسم,أفاحيص,,
أفرع,اسم,فرع,فرع,أقرع
أفره,اسم,,,قبيح
أفطس,اسم,,,أخنس
أفعوان,اسم,أفاع,,
أفعولة,اسم,أفاعيل,,
أفعى,اسم,أفاع,,
أفق,اسم,آفاق,,
أفقع,اسم,,,أسود
أفقي,اسم,,,عموديّ
أفك,اسم,فك,فك,صدق;صدّق
أفك,اسم,فك,,
أفكة,اسم,أفائك,,
أفكوهة,اسم,أفاكيه,,
أفن,اسم,,,فطنة;زيادة
أفنون,اسم,أفانين,,
أفوك,اسم,,,صادق;صدق
أفول,اسم,,,ظهور;بروز
أفيق,اسم,أفق,,
أفيك,اسم,,,صادق
أفيل,اسم,إفال,,
أقارب,اسم,,,أباعد
