WORD,TYPE,PLURAL,SYNONYM,ANTONYM
حالك,اسم,,,منير;مقمر
حامة,اسم,حوام,,
حامل,اسم,,,
حاملة,اسم,حوامل,,
حامي,اسم,,,بارد;
حانق,اسم,,,حليم;راضي
حانوت,اسم,حوانيت,,
حانية,اسم,حوان,,
حاوي,اسم,حواة,,
حاوياء,اسم,حوايا,,
حاوية,اسم,حوايا,,
حب,اسم,حبوب,حبوب,بغض;مقت;كره;بغض;كره;مقت;كراهية
حب,اسم,أحباب,,
حب,اسم,أحباب,,
حباء,اسم,أحبية,,
حباتر,اسم,حباتر,,
حبار,اسم,حبر,,
حباسة,اسم,حبائس,,
حبال,اسم,حبالة,,
حبالة,اسم,حبائل,,
حبة,اسم,حبا,,
حبر,اسم,أحبار,,
حبر,اسم,أحبار,,
حبس,اسم,حبوس,حبوس,أطلق;
حبس,اسم,أحباس,,
حبش,اسم,حبشان,,
حبكة,اسم,حبك,,
حبل,اسم,أحبال,,
حبلة,اسم,حبل,,
حبلى,اسم,,,عاقر;
حبن,اسم,حبون,,
حبناء,اسم,حبن,,
حبنة,اسم,حبن,,
حبوة,اسم,حبى,,
حبيب,اسم,,,بغيض;مقيت;كريه
حبيس,اسم,حبس,حبس,حرّ;طليق
حبيس,اسم,حبائس,,
حبيكة,اسم,حبك,,
حت,اسم,أحتات,أحتات,
حتن,اسم,أحتان,,
حتود,اسم,حتد,,
حثالة,اسم,,,
حثالة(القوم),اسم,,,خيار;صفوة;أعيان;أفضل
حثالة(الناس),اسم,,,أفاضل;أعيان;أماثل;صفوة
حثفر,اسم,حثافر,,
حثيث,اسم,حثاث,حثاث,
حجء,اسم,,,
حجا,اسم,أحجاء,أحجاء,
حجا,اسم,أحجاء,,
حجاب,اسم,حجب,حجب,سفور;
حجاج,اسم,أحجة,,
حجبة,اسم,حجب,,
حجة,اسم,حجج,,
حجة,اسم,حجج,,
حجر,اسم,حجور,,
حجر,اسم,أحجار,,
حجرة,اسم,حجر,,
حجرة,اسم,حجر,,
حجزة,اسم,حجز,,
حجل,اسم,أحجال,,
حجلة,اسم,حجل,,
حجم,اسم,حجوم,حجوم,
حدأة,اسم,حدأ,,
حدأة,اسم,حدأ,,
حداثة,اسم,,,قدم;كبر(السّنّ)
حدب,اسم,أحداب,,قعّر;
حدة,اسم,,,برودة;بلادة;تمهّل
حدث,اسم,أحداث,أحداث,قديم;
حدج,اسم,حدوج,حدوج,رمق;
حدرج,اسم,حدارج,,
حدقة,اسم,حدق,,
حديث,اسم,,,قديم;عتيق
حديد,اسم,حدائد,,
حذاء,اسم,حذ,,
حذر,اسم,أحذار,أحذار,اطمئان;;طمأن;;مطمئن;;اطمأنّ(إلى);
حذرية,اسم,حذارى,,
حذفار,اسم,حذافير,,
حذق,اسم,,,حمق;;حمق;خرق
حر,اسم,حرور,حرور,برد;;أسير;عبد;برد
حر,اسم,أحرار,,
حر,اسم,حرائر,,
حراث,اسم,أحرثه,أحرثه,
حراث,اسم,أحرثة,,
حراثة,اسم,,,حصاد;
حرارة,اسم,,,برودة;
حراسة,اسم,,,سرقة;لصوصيّة
حراقة,اسم,حراقات,,
حرام,اسم,,,حلال;
حران,اسم,,,بردان;;انقياد;
حرب,اسم,,,سلم;سلام;صلح
حرب-منالرجال-,اسم,,,
حرباء,اسم,حرابي,,
حربة,اسم,حراب,,
حرة,اسم,حرار,حرار,أمة;
حرث,اسم,,,زرع;;حصد;
حرج,اسم,حراج,,
حرجة,اسم,حرج,,
حرجلة,اسم,حراجل,,
حرد,اسم,حراد,حراد,رضي;;راضي;
حردان,اسم,,,راضي;
حرس,اسم,أحرس,أحرس,سرق;
حرش,اسم,حراش,,
حرشاء,اسم,حرش,,
حرض,اسم,أحراض,أحراض,هدّأ;سكّن
حرض,اسم,أحراض,,
حرضة,اسم,حرض,,
حرفة,اسم,حرف,,
حرق,اسم,حروق,,
حرقدة,اسم,حراقد,,
حرقوص,اسم,حراقيص,,
حركة,اسم,,,سكون;هدوء
حرم,اسم,أحرام,أحرام,وهب;منح;حلّل;;حلّ;
حرمة,اسم,حرم,حرم,حلّ;
حرمس,اسم,حرامس,,
حرود,اسم,حرد,,
حرور,اسم,حرائر,,
حرون,اسم,,,منقاد;;انقياد;
حرى,اسم,أحراء,,
حري,اسم,,,
حريبة,اسم,حرائب,,
حرية,اسم,,,عبوديّة;
حريد,اسم,حراد,,
حريزة,اسم,حرائز,,
حريسة,اسم,حرائس,,
حريص,اسم,,,سخيّ;كريم;جواد
حريف,اسم,حرفاء,,
حريقة,اسم,حرائق,,
حريم,اسم,أحرام,أحرام,حلّ;
حزب,اسم,أحزاب,,
حزباءة,اسم,حزابي,,
حزة,اسم,حزز,,
حزقة,اسم,حزق,,
حزن,اسم,حزون,حزون,أفرح;فرّح;فرح;سرّ;فرح;مسرور;بهيج;فرح;سرور;حبور;سعادة;بهجة
حزن(منالأرض),اسم,,,سهل;
حزنان,اسم,,,مسرور;فرح
حزنة,اسم,,,
حزنة(منالأرض),اسم,,,سهل;
حزوم,اسم,,,عاجز;متردّد
حزونة(منالأرض),اسم,,,سهل;
حزيرة,اسم,حزائر,,
حزيز,اسم,أحزة,,
حزيم,اسم,حزم,,
حزين,اسم,,,فرح;مسرور;فرحان
حسا,اسم,أحساء,,
حسل,اسم,أحسال,,
حسن,اسم,محاسن,محاسن,بشع;دميم;قبيح;رديء;قبّح;بشّع;قبح;بشع;قبح;بشاعة
حسناء,اسم,,,قبيحة;بشعة
حسنة,اسم,نعم,نعم,سيّئة;
حسنى,اسم,,,سوءى;
حسنيان,اسم,حسن,,
حسوة,اسم,حسا,,
حسود,اسم,حسد,حسد,
حسور,اسم,,,ستر;حجب;تقنيع
حسى,اسم,حساء,,
حسيب,اسم,,,
حسيفة,اسم,حسائف,,
حسيكة,اسم,حسائك,,
حسيل,اسم,حسل,,
حش,اسم,حشوش,,
حشا,اسم,أحشاء,,
حشاش,اسم,حشش,,
حشاك,اسم,حشك,,
حشة,اسم,حشش,,
حشد,اسم,حشود,حشود,تفرّق;
حشر,اسم,حشور,,
حشر,اسم,أحشار,,
حشرة,اسم,حشر,,
حشرج,اسم,حشارج,,
حشفة,اسم,حشاف,,
حشفة,اسم,حشف,,
حشكة,اسم,حشك,,
حشم,اسم,أحشام,,
حشمة,اسم,,,خلاعة;تهتّك;مجون;تبذّل;فسق
حشورة,اسم,حشاور,,
حشوك,اسم,حشك,,
حشية,اسم,حشايا,,
حشيف,اسم,حشف,,
حشيم,اسم,حشماء,حشماء,متبذّل;متهتّك;خليع;ماجن;فاسق
حص,اسم,حصوص,,
حصاة,اسم,حصى,,
حصاة,اسم,حصى,,
حصار,اسم,حصر,,
حصان,اسم,حصن,,فرس;
حصان,اسم,حصن,,
حصان(منالنساء),اسم,,,عاهرة;متهتّكة;فاجرة
حصة,اسم,حصص,,
حصداء,اسم,حصد,,
حصن,اسم,حصون,,
حصن,اسم,حصون,,
حصيد,اسم,حصائد,,
حصيدة,اسم,حصائد,حصائد,زراعة;حرث
حصيصة,اسم,حصائص,,
حصيلة,اسم,حصائل,,
حصين,اسم,,,
حضارة,اسم,,,بداوة;
حضج,اسم,أحضاج,,
حضج,اسم,أحضاج,,
حضري,اسم,,,بدويّ;
حضيض,اسم,,,قمّة;ذروة;أوج
حطاب,اسم,حطابة,,
حطمة,اسم,حطم,,
حطيطة,اسم,حطائط,,
حظ,اسم,حظوظ,,
حظة,اسم,حظا,,
حظوة,اسم,حظاء,,
حظوة,اسم,حظاء,,
حظوة,اسم,حظا,,
حظيرة,اسم,حظائر,,
حف,اسم,حفوف,,
حفاء,اسم,,,انتعال;
حفاف,اسم,أحفة,,
حفة,اسم,حفف,,
حفر,اسم,أحفار,,
حفرة,اسم,حفر,,
حفش,اسم,أحفاش,,
حفص,اسم,أحفاص,,
حفل,اسم,,,تفريق;تبديد;تشتّت
حفنة,اسم,حفن,,
حفي,اسم,حفواء,حفواء,انتعل;
حفي,اسم,حفواء,,
حفيد,اسم,حفداء,حفداء,سبط;
حفيرة,اسم,حفائر,,
حفيظة,اسم,حفائظ,,
حق,اسم,,,باطل;بطل;زور;خطأ
حقاء,اسم,أحقية,,
حقاب,اسم,حقب,,
حقاب,اسم,حقب,,
حقارة,اسم,,,تعظيم;رفقة;سؤدد;مجد;أبّهة;كرامة;إباء;عزّة
حقب,اسم,أحقاب,,
حقب,اسم,حقاب,,
حقب,اسم,أحقاب,,
حقب,اسم,حقاب,,
حقبة,اسم,حقب,,
حقبة,اسم,حقب,,
حقد,اسم,أحقاد,أحقاد,أحبّ;;حب;
حقد,اسم,أحقاد,,
حقف,اسم,أحقاف,,
حقف,اسم,أحقاف,,
حقنة,اسم,حقن,,
حقنة,اسم,أحقان,,
حقو,اسم,أحقاء,,
حقود,اسم,,,محبّ;
حقيبة,اسم,حقائب,,
حقيبة,اسم,حقائب,,
حقيدة,اسم,حقائد,,
حقيدة,اسم,حقائد,,
حقير,اسم,,,عظيم;عزيز;أبيّ
حقيق,اسم,,,
حقيقة,اسم,,,باطل;مجاز
حكأة,اسم,حكأ,,
حكاءة,اسم,حكاء,,
حكر,اسم,أحكار,,
حكر,اسم,أحكار,,
حكلة,اسم,حكل,,
حكمة,اسم,حكم,,
حكمة,اسم,حكم,,
حكيلة,اسم,حكائل,,
حكيم,اسم,حكماء,حكماء,جاهل;غويّ;أحمق
حلاب,اسم,حلب,,
حلاوة,اسم,,,قبح;مرارة
حلبة,اسم,حلائب,,
حلبة,اسم,حلب,,
حلة,اسم,حلل,,
حلة,اسم,حلال,,
حلة,اسم,حلل,,
حلس,اسم,أحلاس,,
حلف,اسم,أحلاف,,
حلفاء,اسم,حلف,,
حلق,اسم,أحلاق,أحلاق,كثيب;
حلقامة,اسم,حلقام,,
حلقانة,اسم,حلقان,,
حلقة,اسم,حلق,,
حلقوم,اسم,حلاقم,,
حلكة,اسم,,,بياض;
حلم,اسم,أحلام,أحلام,جهل;طاش;سفه;جهل;طيش;سفه;حمق
حلمة,اسم,حلم,,
حلو,اسم,,,مر;علقم;حنظل
حلواء,اسم,حلاوى,,
حلوب,اسم,حلب,,
حلوبة,اسم,حلائب,,
حلوس,اسم,حلس,,
حلوى,اسم,حلاوى,,
حلي,اسم,حلي,,
حلية,اسم,حلى,,
حليف,اسم,أحلاف,,
حليلة,اسم,حلائل,,
حليم,اسم,,,طائش;سفيه;جاهل;أحمق
حماد,اسم,,,
حمارة,اسم,حمائر,,صبارّة;
حمارة,اسم,حمار,,
حماسة,اسم,,,زمارة;زمورة;برودة
حماقة,اسم,,,حلم;
حمال,اسم,حمل,,
حمالة,اسم,حمائل,,
حمام,اسم,حمائم,حمائم,حيلة;
حمام,اسم,حمامات,,
حمامة,اسم,حمائم,,
حمة,اسم,حم,,
حمة,اسم,حمم,,
حمة,اسم,حمى,,
حمراء,اسم,حمر,,
حمسة,اسم,حمس,,
حمض,اسم,حموض,,
حمل,اسم,أحمال,,
حمل,اسم,أحمال,,
حمل,اسم,حملان,,
حملاج,اسم,حماليج,,
حمى,اسم,,,برداء;
حميت,اسم,حمت,,
حميس,اسم,أحماس,,
حميسة,اسم,حمائس,,
حميض,اسم,حمض,,
حميض,اسم,حمائض,,
حميلة,اسم,حمائل,,
حميم,اسم,أحماء,أحماء,
حميم(منالماء),اسم,,,بارد;
حميمة,اسم,حمائم,,
حناك,اسم,حنك,,
حنبلي,اسم,حنابلة,,
حنج,اسم,أحناج,,
حنجرة,اسم,),,
حنجل,اسم,حناجل,,
حندس,اسم,حنادس,,
حنش,اسم,أحناش,,
حنطة,اسم,حنط,,
حنظل,اسم,,,عسل;حلو;أري;شهد
حنفي,اسم,أحناف,,
حنك,اسم,أحناك,,
حنك,اسم,أحناك,,
حنكل,اسم,حناكل,,
حنكلة,اسم,حناكل,,
حنو,اسم,أحناء,,
حنية,اسم,حني,,
حنيرة,اسم,حنائر,,
حنيف,اسم,حنفاء,,
حنيق,اسم,حنق,,
حنيك,اسم,حنك,,
حواء,اسم,أحوية,,
حوار,اسم,أحورة,,
حواري,اسم,حواريون,,
حوباء,اسم,حوباوات,,
حوبة,اسم,حوب,,
حوت,اسم,حيتان,,
حور,اسم,أحوار,,
حوراء,اسم,حور,,
حوشي,اسم,,,
حوشي(منالكلام),اسم,,,مأنوس;جزل
حوصل,اسم,حواصل,,
حوصلة,اسم,حواصل,,
حوض,اسم,أحواض,,
حوف,اسم,أحواف,,
حوقلة,اسم,حواقل,,
حول,اسم,أحوال,أحوال,أبقى;أدام
حولي,اسم,حوالي,,
حومانة,اسم,حومان,,
حوية,اسم,حوايا,,
حي,اسم,,,ميت;
حياء,اسم,,,موت;;وقاحة;صفاقة
حياة,اسم,,,موت;ممات;منيّة
حيال,اسم,,,
حيد,اسم,أحياد,أحياد,
حيدة,اسم,حيد,,
حيرة,اسم,,,
حيز,اسم,,,
حيزوم,اسم,حيازم,,
حيض,اسم,,,طهر;
حيضة,اسم,حيض,,
حيف,اسم,حيوف,حيوف,عدل;إنصاف
حيفة,اسم,حيف,,
حيل,اسم,أحيال,,
حيلة,اسم,حول,,
حين,اسم,أحيان,,
حيوان,اسم,يتامى,,إنسان;
حيوانية,اسم,,,إنسانيّة;
خائب,اسم,,,ناجح;
خائل,اسم,خول,,
خائل,اسم,خالة,,
خاب,اسم,خواب,,
خابية,اسم,خوابي,,
خاتام,اسم,خواتيم,,
خاتل,اسم,,,
خاتم,اسم,,,بادئ;
خادبة,اسم,خوادب,,
خادر,اسم,,,
خادع,اسم,خوادع,,
خادعة,اسم,خوادع,,
خادم,اسم,,,سيّد;
خاذل,اسم,,,مساعد;مؤازر;مناصر;داعم
خارج,اسم,,,داخل;
خارجي,اسم,خارجية,,
خارف,اسم,خراف,,
خاسر,اسم,,,رابح;كاسب
خاشع,اسم,,,
خاشن,اسم,,,أمين;مؤتمن;وفيّ
خاص,اسم,,,عامّ;
خاصة,اسم,و,,عامّة;
خاضب,اسم,خواضب,,
خاضع,اسم,,,متمرّد;
خاطئ,اسم,,,بريء;صائب;عفيف
خاطر,اسم,خواطر,,
خاطرة,اسم,خواطر,,
خاطف,اسم,خواطف,,
خاطوف,اسم,خواطيف,,
خافت,اسم,خوافت,خوافت,متوقد;متوهّج;مدوّي;مجلجل
خافق,اسم,خوافق,,
خافي,اسم,,,ظاهر;بادي
خافية,اسم,خواف,,
خاقان,اسم,خواقين,,
خال,اسم,أخوال,,
خال,اسم,خيلان,,
خالد,اسم,,,فاني;زائل;مضمحل
خالع,اسم,خوالع,,
خالف,اسم,خوالف,خوالف,شابه;شاكل;ضارع;ماثل;أيّد;ناصر;وافق;
خالفة,اسم,خوالف,,
خالي,اسم,أخلاء,أخلاء,عامر;آهل
خامد,اسم,,,ثائر;مشتعل
خامشة,اسم,خوامش,,
خامل,اسم,خملة,خملة,ذكيّ;عبقريّ
خانع,اسم,,,متمرّد;
خاوي,اسم,,,آهل;حافل
خب,اسم,أخباب,,
خب,اسم,خبوب,,
خباء,اسم,أخبية,,
خباط,اسم,خبط,,
خبة,اسم,خبب,,
خبة,اسم,خبب,,
خبة,اسم,خبب,,
خبت,اسم,خبوت,,
خبث,اسم,أخباث,,
خبر,اسم,أخبار,أخبار,جاهل;
خبر,اسم,خبور,,
خبر,اسم,خبور,,
خبراء,اسم,خبارى,,
خبرة,اسم,خبر,خبر,جهل;
خبطة,اسم,خبط,,
خبطة,اسم,خبط,,
خبيئة,اسم,خبايا,,
خبيبة,اسم,خبائب,,
خبير,اسم,جهابذة,جهابذة,جاهل;غويّ
خبير,اسم,قناقن,,
خبيص,اسم,أخبصة,,
خبيط,اسم,خبط,,
ختن,اسم,أختان,,
ختول,اسم,,,
ختيار,اسم,,,شابّ;فتيّ
ختيعة,اسم,ختاع,,
خث,اسم,أخثاث,,
خثرمة,اسم,خثارم,,
خثى,اسم,أخثاء,,
خثي,اسم,أخثاء,,
خد,اسم,خدود,,
خد,اسم,أخدة,,
خدة,اسم,خدد,,
خدر,اسم,خدور,,
خدش,اسم,خدوش,خدوش,
خدعة,اسم,خدع,,
خدفة,اسم,خدف,,
خدل,اسم,خدال,,
خدمة,اسم,خدم,,
خدن,اسم,أخدان,,
خدوع,اسم,خدع,,
خذروف,اسم,خذاريف,,
خر,اسم,خررة,,
خرء,اسم,خروء,,
خراب,اسم,,,عمار;بناء;تشييد;عمران
خراج,اسم,أخراج,,
خرارة,اسم,خرار,,
خراش,اسم,أخرشة,,
خراص,اسم,خرص,خرص,
خرب,اسم,خراب,خراب,عمّر;;عمر;;عامر;
خرباش,اسم,خرابيش,,
خربة,اسم,خرب,خرب,عمارة;بنيان
خربة,اسم,خرب,,
خربة,اسم,خرب,,
خرت,اسم,أخرات,,
خرتة,اسم,خرت,,
خرثي,اسم,خراثي,,
خرج,اسم,أخراج,أخراج,دخل;;دخّل;
خرج,اسم,خرجة,,
خرخر,اسم,خراخر,,
خرخور,اسم,خراخير,,
خردل,اسم,خرادل,,
خردولة,اسم,خراديل,,
خرزة,اسم,خرز,,
خرزة,اسم,خرز,,
خرس,اسم,خروس,,
خرس,اسم,أخراس,,
خرساء,اسم,خرس,,
خرش,اسم,خروش,,
خرش,اسم,خروش,,
خرشاء,اسم,خراشي,,
خرشاء,اسم,خرش,,
خرشوم,اسم,خراشيم,,
خرص,اسم,أخراص,,
خرص,اسم,أخراص,,
خرص,اسم,أخراص,,
خرصة,اسم,خرص,,
خرطوم,اسم,خراطيم,,
خرعوب,اسم,خزاعيب,,
خرعوبة,اسم,خراعيب,,
خرق,اسم,خرارق,خرارق,رتق;;حذق;برع;حذق;براعة;مهارة
خرق,اسم,خروق,,
خرق,اسم,أخراق,,
خرقة,اسم,خرق,,
خرم,اسم,خروم,,
خرم,اسم,خروم,,
خرمل,اسم,خرامل,,
خرنف,اسم,خرانف,,
خرنفة,اسم,خرانف,,
خرنق,اسم,خرانق,,
خروف,اسم,خراف,,
خروفة,اسم,خرائف,,
خريت,اسم,خراريت,,
خريطة,اسم,خرائط,,
خز,اسم,خزوز,,
خزامة,اسم,خزائم,,
خزانة,اسم,خزائن,,
خزز,اسم,خزاز,,
خزومة,اسم,خزائم,,
خسا,اسم,مخاسي,,
خسيس,اسم,,,أبيّ;مترفّع;منزّه;متأبّه
خسيل,اسم,خسائل,,
خش,اسم,أخشاش,,
خشاء,اسم,خشاوات,,
خشاب,اسم,خشابة,,
خشاش,اسم,أخشة,,
خشاش,اسم,أخشة,,
خشب,اسم,خشب,,
خشرم,اسم,خشارم,,
خشعة,اسم,خشع,,
خشف,اسم,أخشاف,,
خشف,اسم,خشوف,,
خشناء,اسم,خشن,,
خشوف,اسم,خشف,,
خشونة(العيش),اسم,,,نعومة;رغد
خشيب,اسم,خشب,,
خشية,اسم,,,اطمئان;أمان;سلام
خشيف,اسم,خشف,,
خص,اسم,أخصاص,أخصاص,عمّ;
خصار,اسم,خصر,,
خصاصة,اسم,خصاص,خصاص,غنى;ثروة;كثير;
خصاصة,اسم,خصاص,,
خصب,اسم,أخصاب,أخصاب,أمحل;أجدب;جدب;محل;قحط
خصبة,اسم,,,عاقر;
خصر,اسم,خصور,خصور,
خصفة,اسم,خصاف,,
خصفة,اسم,خصف,,
خصفة,اسم,خصف,,
خصلة,اسم,خصال,,
خصلة,اسم,خصل,,
خصلة,اسم,خصل,,
خصم,اسم,خصوم,خصوم,صديق;
خصم,اسم,خصوم,,
خصم,اسم,أخصام,,
خصي,اسم,,,فحل;
خصيب,اسم,,,مجدب;ماحل;ممحل;صديق
خصية,اسم,خصى,,
خصيصة,اسم,خصائص,,
خصيفة,اسم,خصيف,,
خصيلة,اسم,خصيل,,
خصيم,اسم,,,
خضاخض,اسم,خضاخض,,
خضارب,اسم,خضارب,,
خضارم,اسم,خضارم,,
خضب,اسم,خضوب,خضوب,
خضخض,اسم,خضاخض,,
خضراء,اسم,خضراوات,,
خضرة,اسم,خضر,,يباس;
خضرم,اسم,خضارم,,
خضرم,اسم,خضارم,,
خضعة,اسم,خضع,,
خضلة,اسم,خضلات,,
خضوع,اسم,خضع,خضع,تمرّد;
خضيرة,اسم,خضائر,,
خضيعة,اسم,خضائع,,
خضيلة,اسم,خضائل,,
خضيمة,اسم,خضائم,,
خط,اسم,خطوط,خطوط,محا;
خط,اسم,خطوط,,
خط,اسم,أخطاط,,
خطء,اسم,أخطاء,,
خطأ,اسم,أخطاء,أخطاء,براءة;طهر;عفاف;صواب;صحيح;برّر;
خطاء,اسم,أخطئة,,
خطاف,اسم,خطاطيف,,
خطام,اسم,خطم,,
خطب,اسم,خطوب,,
خطب,اسم,أخطاب,,
خطباء,اسم,خطب,,
خطبة,اسم,خطب,,
خطة,اسم,خطط,,
خطة,اسم,خطط,,
خطر,اسم,خطور,خطور,أمان;
خطر,اسم,أخطار,,
خطر,اسم,أخطار,,
خطروف,اسم,,,متمهّل;متباطئ
خطريف,اسم,,,متمهّل;متباطئ
خطم,اسم,خطوم,,
خطوة,اسم,خطاء,,
خطوة,اسم,خطى,,
خطيئة,اسم,خطايا,خطايا,طهر;عفاف;براءة
خطيب,اسم,خطباء,,
خطير,اسم,خطر,خطر,آمن;أمين
خطيفة,اسم,خطائف,,
خف,اسم,خفاف,خفاف,ثقل;
خفاء,اسم,أخفية,,
خفة,اسم,,,ثقل;بلادة;وقار
خفت,اسم,,,علو;جلجلة;توقّد;شعشعة;توهّج;علا;توقّد;توهّج;ازدهر;دوّى
خفض,اسم,خفوض,خفوض,علو;ارتفاع;رفع;علا;رفع;أعلى;رفّع
خفية,اسم,خفايا,,
خفير,اسم,خفراء,,
خفيف,اسم,هذاليل,هذاليل,ثقيل;كثيف
خق,اسم,أخقاق,,
خل,اسم,خلول,,
خل,اسم,أخل,,
خل,اسم,أخلال,,
خلال,اسم,أخلة,,
خلالة,اسم,خلائل,,
خلب,اسم,أخلاب,,
خلة,اسم,خلال,,
خلة,اسم,خل,,
خلة,اسم,خلل,,
خلة,اسم,خلل,,
خلة,اسم,خلال,,
خلخال,اسم,خلاخيل,,
خلخل,اسم,خلاخل,,
خلد,اسم,أخلاد,أخلاد,فني;زال;اضمحلّ;فني;تلاشى;اضمحلّ;زال;فناء;زوال;اضمحلال
خلدة,اسم,خلدة,,
خلط,اسم,أخلاط,,
خلعة,اسم,خلع,,
خلعة,اسم,خلع,,
خلف,اسم,أخلاف,أخلاف,أمام;قدام
خلف,اسم,أخلاف,,
خلف(بالوعد),اسم,,,وفاء(به);إتمام
خلق,اسم,خلوق,خلوق,
خلق,اسم,خلقان,,
خلق,اسم,أخلاق,,
خلق(منالأشياء),اسم,,,جديد;قشيب
خلقاء,اسم,خلقاوات,,
خلل,اسم,خلال,,
خلم,اسم,خلوم,,
خلو,اسم,أخلاء,أخلاء,امتلاء;
خلود,اسم,,,زوال;فناء;اضمحلال
خلود-(دار),اسم,,,فناء-(دار);
خلى,اسم,أخلاء,,
خلية,اسم,خلايا,,
خلية,اسم,خليات,,
خليج,اسم,خلج,,
خليس,اسم,خلس,,
خليط,اسم,خلطاء,,
خليط(منالناس),اسم,,,نخبة(النّاس);
خليع,اسم,خلعاء,خلعاء,محتشم;أديب;عفيف;متعفّف
خليع(منالأشياء),اسم,,,جديد;
خليف,اسم,خلف,,
خليف,اسم,خلفاء,,
خليفة,اسم,خلفاء,,
خليقة,اسم,خليق,,
خليل,اسم,أخلاء,أخلاء,غدّار;
خليل,اسم,خلائل,,
خم,اسم,خممة,خممة,
خمار,اسم,حوانيت,,
خمار,اسم,أخمرة,,
خماشة,اسم,خماشات,,
خمر,اسم,خمور,,
خمس,اسم,أخماس,,
خمس,اسم,أخماس,,
خمس,اسم,أخماس,,
خمش,اسم,خموش,,
خمصان,اسم,خماص,خماص,بطين;
خمصة,اسم,,,بطنة;
خمود,اسم,,,ثوران;تأجيج
خميس,اسم,أخماس,,
خميس,اسم,أخمسة,,
خميص,اسم,,,بطين;
خميلة,اسم,خميل,,
خميلة,اسم,خمائل,,
خنابس,اسم,خنابس,,
خناق,اسم,خوانيق,,
خنب,اسم,أخناب,,
خنث,اسم,أخناث,,
خنثى,اسم,خناثى,,
خنجر,اسم,خناجر,,
خنجرة,اسم,خناجر,,
خندق,اسم,خنادق,,
خنذيذ,اسم,خناذيذ,خناذيذ,حقير;
خنزير,اسم,خنازير,,
خنسير,اسم,خناسير,,
خنفساء,اسم,خنفساوات,,
خنوس,اسم,خنس,,
خنيف,اسم,خنف,,
خواء,اسم,,,بشم;امتلاء
خوار,اسم,خوارات,,
خوار,اسم,خور,,
خوارة,اسم,خور,,
خوان,اسم,أخونة,,
خوان,اسم,أخونة,,
خود,اسم,خود,,
خوذة,اسم,خوذ,,
خوران,اسم,خوارين,,
خورمة,اسم,خورم,,
خوصتين,اسم,طفي,,
خوط,اسم,خيطان,,
خوع,اسم,أخواع,,
خولي,اسم,خول,,
خولي,اسم,خول,,
خوي,اسم,,,متخم;
خيار,اسم,,,
خيار(القوم),اسم,,,سفلة;حثالة
خيال,اسم,أخيلة,,
خيال,اسم,خيالة,,
خيدب,اسم,خيادب,,
خيدبة,اسم,خيادب,,
خير,اسم,خيار,خيار,شرّ;;شرّير;
خير,اسم,أخيار,,
خير,اسم,خيار,,
خيزران,اسم,خيازر,,
خيس,اسم,أخياس,,
خيسة,اسم,خيس,,
خيش,اسم,أخياش,,
خيط,اسم,خيوط,,
خيط,اسم,خيطان,,
خيط,اسم,خيطان,,
خيف,اسم,أخياف,,
خيفانة,اسم,خيفان,,
خيل,اسم,إسطبلات,,
خيلاء,اسم,,,تواضع;
خيمة,اسم,خيمات,,
دأثاء,اسم,دآث,,
دأدأة,اسم,دآدي,,
دأداء,اسم,دآدي,,
دؤدؤ,اسم,دآدي,,
دؤلول,اسم,دآليل,,
دئث,اسم,أدآث,,
دئداء,اسم,دآدي,,
دائرة,اسم,دوائر,,
دائص,اسم,داصة,,
دائم,اسم,,,فاني;زائل;متغيّر
دابة,اسم,دواب,,
دابر,اسم,دوابر,,
دابرة,اسم,دوابر,,
داجن,اسم,دواجن,دواجن,
داجن(منالحيوان),اسم,,,بريّ;وحشيّ;آبد
داجنة,اسم,دواجن,,
داجية,اسم,دواج,,
داحض,اسم,دحض,,
داحق,اسم,دواحق,,
داحول,اسم,دواحيل,,
داحوم,اسم,دواحيم,,
داخل,اسم,,,خارج;
داخلة,اسم,دواخل,,
داخنة,اسم,دواخن,,
دار,اسم,درار,,
دارالباقية,اسم,,,
دارالبقاء,اسم,,,
دارالسلام,اسم,,,
دارة,اسم,دور,,
دارجة,اسم,دوارج,,
دارس,اسم,,,بارز;شاخص
دارس-منالآثار-,اسم,,,
داعرة,اسم,مداعير,,
داعم,اسم,,,خاذل;متخلّي
داعية,اسم,دواع,,
داغر,اسم,دغار,,
داغصة,اسم,دواغص,,
دافئ,اسم,,,بارد;
دافة,اسم,دواف,,
دال,اسم,أدوال,,
دالة,اسم,دال,,
دالف,اسم,دلف,,
دالي,اسم,دلاة,,
داماء,اسم,دوام,,
دامس,اسم,,,مقمر;منير
دامس-ليل,اسم,,,منير;مقمر
داموس,اسم,دواميس,,
دان,اسم,,,برّأ;
دانق,اسم,دوانق,,
داني,اسم,,,بعيد;نائي;قاصي
داهية,اسم,دواه,,
دب,اسم,دباب,,
دبادب,اسم,دبادب,,
دبارة,اسم,دبار,,
دباغ,اسم,دبغ,,
دبال,اسم,أدبلة,,
دبة,اسم,دباب,,
دبة,اسم,دبب,,
دبداب,اسم,دباديب,,
دبدبة,اسم,دبادب,,
دبر,اسم,أدبر,أدبر,أقبل;;إقبال;
دبر,اسم,أدبر,,
دبر,اسم,أدبار,,
دبرة,اسم,دبر,,قبلة;
دبرة,اسم,دبر,,
دبسي,اسم,دباسي,,
دبش,اسم,أدباش,,
دبغ,اسم,أدباغ,,
